date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,location,age,sex,plumage,counttype,migtype,remark,Low,Age_det
2009-08-24,09:30:00,,1,HB,,92,,,E3,,,,,,,0,
2009-08-24,09:31:00,,1,HB,,11,,,E3,,,,,,,0,
2009-08-24,09:39:00,,1,HB,,33,,,E3,,,,,,,0,
2009-08-24,09:45:00,,2,ESPH,,1,,,O,,FC,,,,,0,
2009-08-24,09:50:00,,1,HB,,36,,,E3,,,,,,,0,
2009-08-24,09:52:00,,1,HB,,53,,,E3,,,,,,,0,
2009-08-24,09:53:00,,1,HB,,104,,,E3,,,,,,,0,
2009-08-24,10:00:00,,2,HB,,24,,,E3,,,,,,,0,
2009-08-24,10:00:00,,2,SB,,90,,,E3,,,,,,,0,
2009-08-24,10:06:00,,1,ESPH,,1,,,W1,Ad,F,,,,,0,Ad
2009-08-24,10:06:00,,1,HB,,2,,,E1,Ad,,,,,,0,Ad
2009-08-24,10:08:00,,2,HB,,22,,,E3,,,,,,,0,
2009-08-24,10:10:00,,2,Mar,,1,,,W1,Ad,F,,,,,0,Ad
2009-08-24,10:12:00,,1,HB,,571,,,E3,,,,,,,0,
2009-08-24,10:15:00,,2,HB,,134,,,E1,,,,,,,0,
2009-08-24,10:15:00,,2,HB,,80,,,E3,,,,,,,0,
2009-08-24,10:15:00,,2,SB,,120,,,W3,,,,,,,0,
2009-08-24,10:15:00,,1,BK,,1,,,E3,,,,,,,0,
2009-08-24,10:15:00,,1,HB,,879,,,E3,,,,,,,0,
2009-08-24,10:18:00,,2,HB,,3,,,O,Ad,M,,,,,0,Ad
2009-08-24,10:18:00,,2,HB,,3,,,O,,,,,,,0,
2009-08-24,10:24:00,,1,SBHB,,134,,,E3,,,,,,,0,
2009-08-24,10:30:00,,2,HB,,125,,,E3,,,,,,,0,
2009-08-24,10:30:00,,2,SB,,80,,,E3,,,,,,,0,
2009-08-24,10:35:00,,1,HB,,411,,,E3,,,,,,,0,
2009-08-24,10:37:00,,1,HB,,67,,,E3,,,,,,,0,
2009-08-24,10:37:00,,1,HB,,97,,,O,,,,,,,0,
2009-08-24,10:37:00,,1,HB,,183,,,W1,,,,,,,0,
2009-08-24,10:37:00,,1,HB,,206,,,W1,,,,,,,0,
2009-08-24,10:37:00,,1,Osp,,1,,,O,Ad,M,,,,,0,Ad
2009-08-24,10:40:00,,1,HB,,493,,,E3,,,,,,,0,
2009-08-24,10:40:00,,2,HB,,315,,,E2,,,,,,,0,
2009-08-24,10:45:00,,2,HB,,147,,,O,,,,,,,0,
2009-08-24,10:45:00,,2,SB,,110,,,E3,,,,,,,0,
2009-08-24,10:48:00,,1,HB,,282,,,E1,,,,,,,0,
2009-08-24,10:49:00,,1,HB,,2,,,W1,,,,,,,0,
2009-08-24,10:49:00,,2,SB,,44,,,E3,,,,,,,0,
2009-08-24,10:50:00,,2,HB,,18,,,O,,,,,,,0,
2009-08-24,10:55:00,,1,HB,,6,,,E3,,,,,,,0,
2009-08-24,10:55:00,,1,HB,,98,,,E3,,,,,,,0,
2009-08-24,10:55:00,,1,ESPH,,2,,,E1,Juv,F,,,,,0,Juv
2009-08-24,11:00:00,,1,HB,,105,,,E3,,,,,,,0,
2009-08-24,11:02:00,,2,HB,,222,,,O,,,,,,,0,
2009-08-24,11:04:00,,1,Rol,,2,,,O,,,,,,,0,
2009-08-24,11:04:00,,2,SB,,35,,,E3,,,,,,,0,
2009-08-24,11:08:00,,1,HB,,1,,,,,,,,,,0,
