Year,Date,Time,Station,Species,Number,RDC,numberdoublecount,Location,Low,Age,Sex,Age_det,Morph,Remark
2009,2009-09-07,14:43:00,2,Pal,4,1,4,O,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,14:44:00,2,Mar,2,1,2,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:44:00,2,Mar,2,1,2,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:45:00,2,ESPH,1,1,1,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:45:00,2,ESPH,1,1,1,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:45:00,2,HB,197,1,197,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:45:00,2,HB,197,1,197,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:45:00,2,LSPH,12,1,12,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:45:00,2,LSPH,12,1,12,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:47:00,2,SUID,1,0,0,W3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:47:00,1,Rol,1,1,1,O,1,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:47:00,2,SUID,1,1,1,W3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:51:00,2,BK,7,1,7,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:51:00,2,BK,7,1,7,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:51:00,2,HB,147,1,147,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:51:00,2,HB,147,1,147,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:51:00,2,SPH,15,1,15,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:51:00,2,SPH,15,1,15,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:56:00,2,HB,76,1,76,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:56:00,2,HB,76,1,76,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:56:00,2,MonPal,1,1,1,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:56:00,2,MonPal,1,1,1,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:56:00,2,SPH,5,1,5,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:56:00,2,SPH,5,1,5,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:59:00,1,CK,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
