"","id","date","time","species","number_new","number_ori","numberN","station","location","age","sex","morph","ctype","mtype","remark","dckept","dcdel","dcremark"
"257",257,2009-08-24,"09:18:00","HB",40,40,0,2,"E3","","","","","","",0,0,""
"258",258,2009-08-24,"09:24:00","HB",2,2,0,2,"E1","ad","f","","","","",2,0,"ID255:-2 "
"259",259,2009-08-24,"09:28:00","HB",145,145,0,2,"E3","","","","","","",0,0,""
"260",260,2009-08-24,"09:29:00","HB",1,1,0,2,"O","ad","m","","","","",1,0,"ID263:-1 "
"261",261,2009-08-24,"09:29:00","SparrowH-SPEC",2,2,0,1,"E3","","","","","","",0,0,""
"262",262,2009-08-24,"09:30:00","HB",1,1,0,2,"O","","","","","","",1,0,"ID263:-1 "
"263",263,2009-08-24,"09:30:00","HB",90,92,0,1,"E3","","","","","","",0,-2,"ID262:1 ID260:1 "
"264",264,2009-08-24,"09:31:00","HB",11,11,0,1,"E3","","","","","","",0,0,""
"265",265,2009-08-24,"09:39:00","HB",33,33,0,1,"E3","","","","","","",0,0,""
"266",266,2009-08-24,"09:45:00","EurasianSH",1,1,0,2,"O","","fc","","","","",0,0,""
"267",267,2009-08-24,"09:50:00","HB",36,36,0,1,"E3","","","","","","",0,0,""
"268",268,2009-08-24,"09:52:00","HB",53,53,0,1,"E3","","","","","","",0,0,""
"269",269,2009-08-24,"09:53:00","HB",104,104,0,1,"E3","","","","","","",0,0,""
"270",270,2009-08-24,"10:00:00","HB",24,24,0,2,"E3","","","","","","",0,0,""
"271",271,2009-08-24,"10:00:00","StepBuz",90,90,0,2,"E3","","","","","","",0,0,""
"272",272,2009-08-24,"10:06:00","EurasianSH",1,1,0,1,"W1","ad","f","","","","",0,0,""
"273",273,2009-08-24,"10:06:00","HB",2,2,0,1,"E1","ad","","","","","",0,0,""
"274",274,2009-08-24,"10:08:00","HB",22,22,0,2,"E3","","","","","","",0,0,""
