"date","timestamp","telpost","speciesname","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2016-10-12","07:37:00","2","START",1,"0","0","W2","","","","","","",286,2016
"2016-10-12","16:49:00","2","END",1,"0","0","W2","","","","","","",286,2016
"2016-10-13","07:28:00","1","START",1,"0","0","W2","","","","","","",287,2016
"2016-10-13","16:55:00","1","END",1,"0","0","W2","","","","","","",287,2016
"2016-10-13","07:25:00","2","START",1,"0","0","O","","","","","","",287,2016
"2016-10-13","08:50:00","2","BREAK",1,"0","0","O","","","","","","",287,2016
"2016-10-13","10:50:00","2","RESUME",1,"0","0","O","","","","","","",287,2016
"2016-10-13","14:35:00","2","BREAK",1,"0","0","O","","","","","","",287,2016
"2016-10-13","15:15:00","2","RESUME",1,"0","0","O","","","","","","",287,2016
"2016-10-13","16:50:00","2","END",1,"0","0","O","","","","","","",287,2016
"2016-10-14","11:00:00","1","START",1,"0","0","E3","","","","","","late start because of rain",288,2016
"2016-10-14","14:00:00","1","END",1,"0","0","E3","","","","","","",288,2016
"2016-10-15","13:09:00","1","START",1,"0","0","O","","","","","","rain during all the morning  continuos rain over the sea and in the north",289,2016
"2016-10-15","16:52:00","1","END",1,"0","0","O","","","","","","",289,2016
"2016-10-16","07:30:00","1","START",1,"0","0","O","","","","","","",290,2016
"2016-10-16","16:46:00","1","END",1,"0","0","O","","","","","","",290,2016
"2016-10-16","09:40:00","2","START",1,"0","0","W2","","","","","","",290,2016
"2016-10-16","16:46:00","2","END",1,"0","0","W1","","","","","","",290,2016
