"date","timestamp","telpost","speciesname","speciesid","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2012-08-21","09:57:00","2","HB",86,14,"","","E2","","","","","","",234,2012
"2012-08-21","10:06:00","2","WhiStork",32,2,"","","W2","juv","","","","","",234,2012
"2012-08-21","10:07:00","2","WhiStork",32,1,"","","W2","juv","","","","","",234,2012
"2012-08-21","10:08:00","2","BlackKite",88,1,"","","W2","","","","","","",234,2012
"2012-08-21","10:08:00","2","Mar",95,1,"","","W2","juv","","","","","",234,2012
"2012-08-21","10:32:00","2","Mar",95,1,"","","O","ad","f","","","","",234,2012
"2012-08-21","11:06:00","2","HB",86,4,"","","E3","","","","","","",234,2012
"2012-08-21","11:06:00","2","StepBuz",102,1,"","","E2","","","","","","",234,2012
"2012-08-21","11:12:00","2","Mar",95,1,"","","E2","","","","","","",234,2012
"2012-08-21","11:12:00","2","HB",86,2,"","","E2","","","","","","",234,2012
"2012-08-21","11:29:00","2","MonPalHen",1102,1,"","","E3","","","","","","",234,2012
"2012-08-21","11:31:00","2","HB",86,5,"","","E3","","","","","","",234,2012
"2012-08-21","11:32:00","2","HB",86,1,"","","E2","","","","","","",234,2012
"2012-08-21","11:35:00","2","Pal",97,1,"","","E2","ad","m","","","","",234,2012
"2012-08-21","11:35:00","2","BlaStork",31,1,"","","E2","","","","","","",234,2012
"2012-08-21","11:35:00","2","HB",86,3,"","","E3","","","","","","",234,2012
"2012-08-21","11:41:00","2","HB",86,4,"","","E2","","","","","","",234,2012
"2012-08-21","11:42:00","2","HB",86,1,"","","E2","","","","","","",234,2012
"2012-08-21","11:45:00","2","HB",86,24,"","","E2","","","","","","",234,2012
"2012-08-21","11:47:00","2","BootedE",592,1,"","","E3","","","d","","","",234,2012
"2012-08-21","11:57:00","2","BootedE",592,1,"","","E2","","","l","","","",234,2012
"2012-08-21","12:01:00","2","HB",86,1,"","","E3","","","","","","",234,2012
"2012-08-21","12:01:00","2","BootedE",592,1,"","","E3","","","d","","","",234,2012
"2012-08-21","12:01:00","2","HB",86,1,"","","E3","","","","","","",234,2012
"2012-08-21","12:01:00","2","MonPalHen",1102,2,"","","E3","","","","","","",234,2012
"2012-08-21","12:03:00","2","HB",86,1,"","","E3","","","","","","",234,2012
"2012-08-21","12:11:00","2","HB",86,10,"","","E3","","","","","","",234,2012
"2012-08-21","12:16:00","2","HB",86,51,"","","E3","","","","","","",234,2012
"2012-08-21","12:50:00","2","HB",86,17,"","","E3","","","","","","",234,2012
"2012-08-21","13:00:00","2","HB",86,3,"","","E2","","","","","","",234,2012
"2012-08-21","13:00:00","2","HB",86,9,"","","E3","","","","","","",234,2012
"2012-08-21","13:07:00","2","MonPalHen",1102,1,"","","O","","","","","","",234,2012
"2012-08-21","13:08:00","2","Mon",98,1,"","","O","ad","m","","","","",234,2012
"2012-08-21","13:47:00","2","HB",86,102,"","","E2","","","","","","",234,2012
"2012-08-21","13:48:00","2","BootedE",592,1,"","","E2","","","d","","","",234,2012
"2012-08-21","13:55:00","2","HB",86,67,"","","E3","","","","","","",234,2012
"2012-08-21","14:01:00","2","HB",86,39,"","","E3","","","","","","",234,2012
"2012-08-21","14:03:00","2","HB",86,75,"","","E2","","","","","","",234,2012
"2012-08-21","14:05:00","2","HB",86,39,"","","E2","","","","","","",234,2012
"2012-08-21","14:13:00","2","HB",86,106,"","","E2","","","","","","",234,2012
"2012-08-21","14:22:00","2","BlackKite",88,1,"","","E2","","","","","","",234,2012
"2012-08-21","14:22:00","2","ShortTE",94,1,"","","W1","imm","","","","","",234,2012
"2012-08-21","14:22:00","2","BlaStork",31,1,"","","E2","","","","","","",234,2012
"2012-08-21","14:23:00","2","Mar",95,1,"","","E2","","fc","","","","",234,2012
"2012-08-21","14:23:00","2","HB",86,86,"","","E2","","","","","","",234,2012
"2012-08-21","14:25:00","2","Mar",95,1,"","","E2","","","","","","",234,2012
"2012-08-21","14:27:00","2","HB",86,31,"","","E2","","","","","","",234,2012
"2012-08-21","14:27:00","2","BlackKite",88,3,"","","E2","","","","","","",234,2012
"2012-08-21","14:27:00","2","Mar",95,1,"","","E2","","fc","","","","",234,2012
"2012-08-21","14:35:00","2","HB",86,23,"","","E1","","","","","","",234,2012
"2012-08-21","14:44:00","2","HB",86,72,"","","E2","","","","","","",234,2012
